"event_key","date","series","title","city","country","event_format","event_site","sessionize_url","event_repo","demo_url"
"cd21","2021-10-21","Cloud Day","Cloud Day 2021",,,"virtual","https://www.cloudday.it/e/2175/Cloud-Day-2021","https://sessionize.com/cloud-day-2021/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2021/cloud-day-2021","https://github.com/ghotz/Presentations/tree/master/2020-2024/2021/cloud-day-2021/demos"
"awsemea21","2021-11-03","AWS Webinars","SQL Server on AWS",,,"virtual",,,"https://github.com/ghotz/Presentations/tree/master/2020-2024/2021/sql-server-on-aws","https://github.com/ghotz/Presentations/tree/master/2020-2024/2021/sql-server-on-aws/demos"
"aws2111","2021-11-17","AWS Online Tech Talks","AWS Online Tech Talks 2021-11",,,"virtual","https://pages.awscloud.com/online-tech-talks-italia-novembre",,"https://github.com/ghotz/Presentations/tree/master/2020-2024/2021/aws-online-tech-talks-2021-11","https://github.com/ghotz/Presentations/tree/master/2020-2024/2021/aws-online-tech-talks-2021-11/demos"
"ds20","2022-02-26","Data Saturday","Data Saturday 20 Pordenone 2022","Pordenone","IT","in-person","https://datasaturdays.com/Event/20220226-datasaturday0020","https://sessionize.com/datasatpn22/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/data-saturday-20-pordenone-2022","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/data-saturday-20-pordenone-2022/demos"
"sst2022","2022-06-10","SQL Start","SQL Start 2022",,,"virtual","https://web.archive.org/web/20220814222010/https://www.sqlstart.it/2022/Sessions","https://sessionize.com/sql-start-2022/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/sql-start-2022","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/sql-start-2022/demos"
"bbup22","2022-06-16","UGISS Webinars","Webinar BBUP e Ordine Avvocati",,,"virtual",,,"https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/webinar-bbup-e-ordine-avvocati","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/webinar-bbup-e-ordine-avvocati/demos"
"wpc2022","2022-10-17","WPC","WPC 2022","Milano","IT","in-person","https://www.wpc.education/archivio/wpc-2022/wpc-2022","https://sessionize.com/wpc-2022/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/wpc-2022","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/wpc-2022/demos"
"ds22","2022-11-26","Data Saturday","Data Saturday 22 Parma 2022","Parma","IT","in-person","https://datasaturdays.com/Event/20221126-datasaturday0022","https://sessionize.com/data-saturday-parma-2022/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/data-saturday-22-parma-2022","https://github.com/ghotz/Presentations/tree/master/2020-2024/2022/data-saturday-22-parma-2022/demos"
"ds31","2023-02-25","Data Saturday","Data Saturday 31 Pordenone 2023","Pordenone","IT","in-person","https://datasaturdays.com/Event/20230225-datasaturday0031","https://sessionize.com/datasatpn2023/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/data-saturday-31-pordenone-2023","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/data-saturday-31-pordenone-2023/demos"
"sst2023","2023-06-16","SQL Start","SQL Start 2023","Ancona","IT","in-person","https://web.archive.org/web/20230523074118/https://www.sqlstart.it/2023","https://sessionize.com/sql-start-2023/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/sql-start-2023","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/sql-start-2023/demos"
"ds37","2023-11-18","Data Saturday","Data Saturday 37 Parma 2023","Parma","IT","in-person","https://datasaturdays.com/Event/20231118-datasaturday0037","https://sessionize.com/data-saturday-parma-2023/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/data-saturday-37-parma-2023","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/data-saturday-37-parma-2023/demos"
"wpc2023","2023-11-29","WPC","WPC 2023","Milano","IT","in-person","https://www.wpc.education/archivio/wpc-2023/wpc-2023","https://sessionize.com/wpc-2023/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/wpc-2023","https://github.com/ghotz/Presentations/tree/master/2020-2024/2023/wpc-2023/demos"
"ds48","2024-02-24","Data Saturday","Data Saturday 48 Pordenone 2024","Pordenone","IT","in-person","https://datasaturdays.com/Event/20240224-datasaturday0048","https://sessionize.com/datasatpn2024/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2024/data-saturday-48-pordenone-2024","https://github.com/ghotz/Presentations/tree/master/2020-2024/2024/data-saturday-48-pordenone-2024/demos"
"wpc2024","2024-11-28","WPC","WPC 2024","Milano","IT","in-person","https://www.wpc.education/archivio/wpc-2024/wpc-2024","https://sessionize.com/wpc-2024/","https://github.com/ghotz/Presentations/tree/master/2020-2024/2024/wpc-2024","https://github.com/ghotz/Presentations/tree/master/2020-2024/2024/wpc-2024/demos"
"ds66","2025-02-22","Data Saturday","Data Saturday 66 Pordenone 2025","Pordenone","IT","in-person","https://datasaturdays.com/Event/20250222-datasaturday0066","https://sessionize.com/datasatpn2025/","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/data-saturday-66-pordenone-2025","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/data-saturday-66-pordenone-2025/demos"
"xe2025","2025-05-23","XE Events","XE SQL Night 2025","Mestre","IT","in-person","https://www.xedotnet.org/eventi/sql-night-2025",,"https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/xe-sql-night-2025","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/xe-sql-night-2025/demos"
"sst2025","2025-06-13","SQL Start","SQL Start 2025","Ancona","IT","in-person","https://web.archive.org/web/20250613163117/https://www.sqlstart.it/sessions/","https://sessionize.com/sql-start-2025/","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/sql-start-2025","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/sql-start-2025/demos"
"ds77","2025-11-29","Data Saturday","Data Saturday 77 Parma 2025","Parma","IT","in-person","https://datasaturdays.com/Event/20251129-datasaturday0077","https://sessionize.com/data-saturday-parma-2025/","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/data-saturday-77-parma-2025","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/data-saturday-77-parma-2025/demos"
"wpc2025","2025-12-02","WPC","WPC 2025","Milano","IT","in-person","https://www.wpc.education/archivio/wpc-2025/wpc-2025","https://sessionize.com/wpc-2025/","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/wpc-2025","https://github.com/ghotz/Presentations/tree/master/2025-2029/2025/wpc-2025/demos"
"ds80","2026-02-28","Data Saturday","Data Saturday 80 Pordenone 2026","Pordenone","IT","in-person","https://datasaturdays.com/Event/20260228-datasaturday0080","https://sessionize.com/datasat2026pn","https://github.com/ghotz/Presentations/tree/master/2025-2029/2026/data-saturday-80-pordenone-2026","https://github.com/ghotz/Presentations/tree/master/2025-2029/2026/data-saturday-80-pordenone-2026/demos"
